TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
23519,30166,,,First Federal Savings and Loan Association of Cullman,CULLMAN,AL,N,N
23520,,,H2805,MSB Capital Corporation,Columbus,OH, ,N
23520,32441,,,United Midwest Savings Bank,DE GRAFF,OH,N,N
23521,,,H2810,Heritage Holding Corporation,St. George,UT, ,N
23521,28665,,,Heritage Bank,SAINT GEORGE,UT,N,N
23522,,,H2823,GS Financial Corp,Metairie,LA, ,N
23522,29866,,,Guaranty Savings Bank,METAIRIE,LA,Y,N
23524,,,H2807,AF Mutual Holding Company,Alamogordo,NM, ,N
23524,,,H2808,Alamogordo Financial Corp.,Alamogordo,NM, ,N
23524,29087,,,BANK'34,ALAMOGORDO,NM,Y,N
23525,,,H2820,"Third Federal Savings and Loan Assoc.Of Cleveland, MHC",Cleveland,OH, ,N
23525,,,H2821,TFS Financial Corporation,Cleveland,OH, ,N
23525,30012,,,Third Federal Savings and Loan Association of Cleveland,CLEVELAND,OH,N,N
23527,,,H2836,Peoples-Sidney Financial Corporation,Sidney,OH, ,Y
23527,29703,,,Peoples Federal Savings and Loan Association,SIDNEY,OH,Y,Y
23529,,,H2847,"Sistersville Bancorp, Inc.",Sistersville,WV, ,N
23529,28746,,,First Federal Savings Bank,SISTERSVILLE,WV,Y,N
23530,,,H2854,"SFB Bancorp, Inc.",Elizabethton,TN, ,N
23530,31381,,,Security Federal Bank,ELIZABETHTON,TN,Y,N
23531,,,H2857,"Security Bancorp, Inc.",McMinnville,TN, ,N
23531,31146,,,Security Federal Savings Bank of McMinnville,MC MINNVILLE,TN,Y,N
23533,,,H0411,Midland Financial Co.,Oklahoma City,OK, ,Y
23533,,,H2882,George J. and Nancy J. Records 1990  Irrevocable Trust,Oklahoma City,OK, ,Y
23533,,,H2883,Martha Ellen Records 1976 Trust,Oklahoma City,OK, ,Y
23533,,,H2985,Martha Records Family 1997 GST       Exemption Trusts,Oklahoma City,OK, ,Y
23533,,,H2986,The Ryan Family Security Trust,Oklahoma City,OK, ,Y
23533,,,H4006,"G. Jeffrey Records, Jr. 2003 Family  Trust (GJR)",Oklahoma City,OK, ,Y
23533,,,H4007,"G. Jeffrey Records, Jr. 2003 Family  Trust (NJR)",Oklahoma City,OK, ,Y
23533,,,H4008,"G. Jeffrey Records, Jr. 2004 Family  Trust (KRR)",Oklahoma City,OK, ,Y
23533,,,H4009,"G. Jeffrey Records, Jr. 2004 Family  Trust (MER)",Oklahoma City,OK, ,Y
23533,,,H4441,Kathryn R. Ryan 2007 GST Exempt      Family Trust,Oklahoma City,OK, ,Y
23533,,,H4479,Kathryn R. Ryan 2007 Non-Exempt Trust,Oklahoma City,OK, ,Y
23533,,,H4510,"G. Jeffrey Records, Jr. Trust        2008 GST Exempt Family Trust",Oklahoma City,OK, ,Y
23533,,,H4512,"G. Jeffrey Records, Jr. Trust        2008 GST Non-Exempt Family Trust",Oklahoma City,OK, ,Y
23533,4063,,,MidFirst Bank,OKLAHOMA CITY,OK,Y,Y
23534,,,H2918,"Riverview Bancorp, Inc.",Vancouver,WA, ,Y
23534,29922,,,Riverview Community Bank,CAMAS,WA,Y,Y
23536,,,H2891,"Ozark Bancorp, Inc.",Salem,MO, ,N
23536,31488,,,"Progressive Ozark Bank, Federal Savings Bank",SALEM,MO,Y,N
23537,22874,,,"Hickory Point Bank and Trust, FSB",DECATUR,IL,Y,Y
23538,,,H2862,"Lusitania Financial, MHC",Newark,NJ, ,N
23538,34058,,,"Lusitania Savings Bank, FSB",NEWARK,NJ,Y,N
23539,,,H2865,Priority One Holding Company,Fayetteville,AR, ,Y
23539,33818,,,Priority Bank,OZARK,AR,Y,Y
23540,,,H2889,"Jackson Financial, Inc.",Jackson,MN, ,N
23540,,,H2890,"Jackson Financial, MHC",Jackson,MN, ,N
23540,30492,,,Jackson Federal Savings and Loan Association,JACKSON,MN,N,N
23541,,,H2913,"HopFed Bancorp, Inc.",Hopkinsville,KY, ,Y
23541,30090,,,Heritage Bank,HOPKINSVILLE,KY,Y,Y
23542,,,H2938,Greater Atlantic Financial Corp.,Reston,VA, ,Y
23542,32583,,,Greater Atlantic Bank,RESTON,VA,Y,Y
23543,,,H2955,"High Country Bancorp, Inc.",Salida,CO, ,N
23543,29783,,,High Country Bank,SALIDA,CO,N,N
23544,,,H2969,"United Tennessee Bankshares, Inc.",Newport,TN, ,N
23544,29089,,,Newport Federal Bank,NEWPORT,TN,N,N
23545,,,H2870,"Community First Holdings, LLC",Pikesville,MD, ,N
23545,,,H2871,"CFH Holdings, LLC",Pikesville,MD, ,N
23545,,,H2923,Berman Family Trust,Baltimore,MD, ,N
23545,,,H2925,Berman Children's Trust,Baltimore,MD, ,N
23545,34614,,,Community First Bank,PIKESVILLE,MD,Y,N
23546,,,H2954,"Dorset Bancshares, Inc.",Park Rapids,MN, ,Y
23546,1415,,,Northwoods Bank of Minnesota,PARK RAPIDS,MN,Y,Y
23550,,,H2960,Northwest Investment Corp.           Attn:  James G. DeBoeuf,Davenport,IA, ,N
23550,15830,,,Northwest Bank and Trust Company,DAVENPORT,IA,Y,N
23551,,,H2542,American Midwest Financial Corp.,Rochester,IN, ,N
23551,,,H3063,Belcher Family LP,Rochester,IN, ,N
23551,31516,,,First Federal Savings Bank,ROCHESTER,IN,Y,N
23553,,,H3016,"TCT Holdings, Inc.",St. Louis,MO, ,N
23553,,,H3060,TIAA Board of Overseers,New York,NY, ,N
23553,,,H3061,Teachers Insurance and Annuity       Association of America,New York,NY, ,N
23553,34723,,,"TIAA-CREF Trust Company, FSB",ST. LOUIS,MO,N,N
23554,,,H3018,"Mid-Southern, M.H.C.",Salem,IN, ,N
23554,30133,,,"Mid-Southern Savings Bank, FSB",SALEM,IN,N,N
23555,,,H3024,OC Financial MHC,Ocean City,NJ, ,Y
23555,,,H3025,Ocean Shore Holding Co.,Ocean City,NJ, ,Y
23555,30273,,,Ocean City Home Bank,OCEAN CITY,NJ,Y,Y
23556,,,H3027,Citizens South Banking Corporation,Gastonia,NC, ,N
23556,28833,,,Citizens South Bank,GASTONIA,NC,Y,N
23557,,,H3068,"NASB Financial, Inc.",Grandview,MO, ,N
23557,29708,,,"North American Savings Bank, F.S.B.",GRANDVIEW,MO,N,N
23558,,,H2978,"ebank Financial Services, Inc.",Atlanta,GA, ,Y
23558,34682,,,Ebank,ATLANTA,GA,Y,Y
23562,,,H3099,First Western Mortgage Corporation,Fort Worth,TX, ,N
23562,,,H3138,The James S. Dubose Family Trust,Ft. Worth,TX, ,N
23562,,,H3155,The Joy L. Dubose Family Trust,Ft. Worth,TX, ,N
23562,,,H3156,JSD - Christopher James Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3157,JSD - Kathryn Joy Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3158,JSD - Victoria Adams Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3159,JSD - Jamie Adams Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3160,JSD - Anna Adams Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3161,JSD - James E. Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3162,JSD - Gwynne M. Dubose Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3163,JSD - Christopher James Keyland      Descendant Trust,Ft. Worth,TX, ,N
23562,,,H3164,JSD - Kathryn Joy Keyland Descendant Trust,Ft. Worth,TX, ,N
23562,,,H3165,JLD - Christopher James Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3166,JLD - Kathryn Joy Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3167,JLD - Victoria Adams Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3168,JLD - Jamie Adams Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3169,JLD - Anna Adams Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3170,JLD - James E. Dubose Trust,Ft. Worth,TX, ,N
23562,,,H3171,Gwynne M. Dubose Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3172,JLD - Christopher James Keyland      Descendant Trust,Ft. Worth,TX, ,N
23562,,,H3173,JLD - Kathryn Joy Keyland Descendant Trust,Ft. Worth,TX, ,N
23562,,,H3174,The James E. Dubose Irrevocable Trust,Ft. Worth,TX, ,N
23562,,,H3175,The GMDK - Christopher James         Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3176,The GMDK - Kathryn Joy Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3177,The Christopher James Keyland        Irrevocable Intervivos Trust,Ft. Worth,TX, ,N
23562,,,H3178,The Kathryn Joy Keyland Irrevocable  Intervivos Trust,Ft. Worth,TX, ,N
23562,,,H3179,The Anna Adams Dubose Irrevocable    Intervivos Trust,Ft. Worth,TX, ,N
23562,,,H3180,The Jamie Adams Dubose Irrevocable   Intervivos Trust,Ft. Worth,TX, ,N
23562,,,H3181,The James S. Dubose Grantor Retained Annuity Trust,Ft. Worth,TX, ,N
23562,,,H3182,The Joy L. Dubose Grantor Retained   Annuity Trust,Ft. Worth,TX, ,N
23562,,,H3183,The James E. Dubose Grantor          Retained Annuity Trust,Ft. Worth,TX, ,N
23562,,,H3184,David Keyland Trust,Ft. Worth,TX, ,N
23562,,,H3274,Colonial Holding Company,Ft. Worth,TX, ,N
23562,,,H3831,Christopher James Keyland IrrevocableAsset Trust,Fort Worth,TX, ,N
23562,,,H3832,Kathryn Joy Keyland Irrevocable      Asset Trust,Fort Worth,TX, ,N
23562,,,H3833,Jamie Adams DuBose Irrevocable       Asset Trust,Fort Worth,TX, ,N
23562,,,H3834,Anna Adams DuBose Irrevocable        Asset Trust,Fort Worth,TX, ,N
23562,,,H3835,GMDK Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,,,H3836,JED Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,,,H3837,JLD/GMDK Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,,,H3838,JLD/JED Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,,,H3839,JSD/GMDK Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,,,H3840,JSD/JED Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,,,H3841,VAA Irrevocable Asset Trust,Fort Worth,TX, ,N
23562,31361,,,"Colonial Savings, F.A.",FORT WORTH,TX,Y,N
23563,,,H2935,"Home Bancgroup, Inc.",Hallandale Beach,FL, ,Y
23563,34652,,,Home Federal Bank of Hollywood,HALLANDALE BEACH,FL,N,N
23564,,,H2980,"Key West Bancgroup, Inc.",Key West,FL, ,Y
23564,34684,,,Key West Bank,KEY WEST,FL,Y,Y
23565,,,H3082,"Blue River Bancshares, Inc.",Shelbyville,IN, ,Y
23565,29761,,,SCB BANK,SHELBYVILLE,IN,Y,Y
23566,,,H3095,"Universal Financial, Inc.",West Covina,CA, ,N
23566,30722,,,Universal Bank,WEST COVINA,CA,N,N
23567,,,H3123,Midland Capital Holdings Corporation,Bridgeview,IL, ,Y
23567,29980,,,Midland Federal Savings and Loan Association,BRIDGEVIEW,IL,Y,Y
23568,,,H3033,Thrivent Financial for Lutherans,Appleton,WI, ,N
23568,,,H3034,"Thrivent Financial Holdings, Inc.",Appleton,WI, ,N
23568,34799,,,Thrivent Financial Bank,APPLETON,WI,Y,N
23569,34782,,,Allstate Bank,VERNON HILLS,IL,N,Y
23570,,,H3104,"CFS Bancorp, Inc.",Munster,IN, ,Y
23570,29367,,,Citizens Financial Bank,MUNSTER,IN,Y,Y
23571,,,H3085,"Banks of the Chesapeake, MHC",Baltimore,MD, ,Y
23571,28684,,,Chesapeake Bank of Maryland,BALTIMORE,MD,Y,Y
23572,,,H3137,"Kingstree Bancshares, M.H.C.",Kingstree,SC, ,Y
23572,29486,,,Kingstree Federal Savings and Loan Association,KINGSTREE,SC,Y,Y
23574,,,H3192,Cambray Mutual Holding Company,Gouverneur,NY, ,N
23574,,,H3193,"Gouverneur Bancorp, Inc",Gouverneur,NY, ,N
23574,30976,,,Gouverneur Savings and Loan Association,GOUVERNEUR,NY,Y,N
23575,,,H3185,Pulaski Financial Corp.,St Louis,MO, ,Y
23575,30284,,,Pulaski Bank,SAINT LOUIS,MO,Y,Y
23576,,,H3200,"First Niles Financial, Inc.",Niles,OH, ,N
23576,28349,,,Home Federal Savings and Loan Association of Niles,NILES,OH,Y,N
23577,,,H3310,"First Capital, Inc.                  Attn:  Chris Frederick",Corydon,IN, ,N
23577,31223,,,First Harrison Bank,CORYDON,IN,Y,N
23578,,,H2912,State Farm Mutual Auto Insurance Co.,Bloomington,IL, ,N
23578,34617,,,"State Farm Bank, F.S.B.",BLOOMINGTON,IL,N,N
23579,,,H3154,"Coastal Bancorporation, Inc.",Merritt Island,FL, ,Y
23579,34898,,,Coastal Bank,MERRITT ISLAND,FL,Y,Y
23580,,,H3203,WFSB Mutual Holding Company,Washington,PA, ,N
23580,,,H3204,"WFSB,Inc.",Washington,PA, ,N
23580,29520,,,Washington Federal Savings Bank,WASHINGTON,PA,Y,N
23581,,,H3284,"Sea Isle Financial Corp., MHC",Sea Isle City,NJ, ,N
23581,,,H3986,1st Capital Holding Corp.,Sea Isle City,NJ, ,N
23581,30367,,,1st Bank of Sea Isle City,SEA ISLE CITY,NJ,Y,N
23582,,,H3293,Fedfirst Financial Mutual Holding Co.,Monessen,PA, ,N
23582,,,H3294,FedFirst Financial Corporation,Monessen,PA, ,N
23582,29943,,,First Federal Savings Bank,MONESSEN,PA,Y,N
23583,,,H3300,"Eureka Bancorp, MHC",Pittsburgh,PA, ,N
23583,,,H3923,Eureka Financial Corp.,Pittsburgh,PA, ,N
23583,28135,,,Eureka Bank,PITTSBURGH,PA,N,N
23584,,,H3316,"Washington Bancshares, Inc.",Chicago,IL, ,N
23584,30570,,,Washington Federal Bank For Savings,CHICAGO,IL,Y,N
23586,,,H3186,Shelter Financial Corporation,Columbia,MO, ,N
23586,,,H3201,Shelter Mutual Insurance Company,Columbia,MO, ,N
23586,35002,,,Shelter Financial Bank,COLUMBIA,MO,N,N
23588,,,H3317,Central Federal Corporation,Fairlawn,OH, ,Y
23588,28263,,,CFBank,FAIRLAWN,OH,Y,Y
23590,,,H3364,"First Bancorp of Indiana, Inc.",Evansville,IN, ,Y
23590,29056,,,First Federal Savings Bank,EVANSVILLE,IN,Y,Y
23591,,,H0604,ACACIA Life Insurance Company,Bethesda,MD, ,Y
23591,,,H2189,ACACIA Financial Corporation,Bethesda,MD, ,Y
23591,,,H3321,UNIFI Mutual Holding Company,Lincoln,NE, ,Y
23591,,,H3322,Ameritas Holding Company,Lincoln,NE, ,Y
23591,,,H3892,Ameritas Life Insurance Corp (NE),Lincoln,NE, ,Y
23591,32266,,,Acacia Federal Savings Bank,FALLS CHURCH,VA,Y,Y
23592,,,H2339,Rock Rivers Bancorp,Rock Rapids,IA, ,Y
23592,33922,,,Frontier Bank,ROCK RAPIDS,IA,Y,Y
23594,,,H3359,Capitol Federal Savings Bank MHC,Topeka,KS, ,Y
23594,,,H3360,Capitol Federal Financial,Topeka,KS, ,Y
23594,27981,,,Capitol Federal Savings Bank,TOPEKA,KS,Y,Y
23595,,,H3389,Home Financial Bancorp,Spencer,IN, ,N
23595,27955,,,"Owen Community Bank, s.b.",SPENCER,IN,N,N
23596,,,H3439,First Federal Bankshares Inc.,Sioux City,IA, ,Y
23596,27732,,,Vantus Bank,SIOUX CITY,IA,Y,Y
23597,,,H3125,The Guardian Life Insurance Company,New York,NY, ,N
23597,34958,,,"Guardian Trust Company, FSB",NEW YORK CITY,NY,N,N
23598,,,H3397,FBDC Financial Corp.,Ft. Payne,AL, ,N
23598,31479,,,First Federal Bank,FORT PAYNE,AL,Y,N
23601,,,H3344,"Banckentucky, Inc",Murray,KY, ,Y
23601,35161,,,The Murray Bank,MURRAY,KY,Y,Y
23602,,,H3376,Sun Valley Bancorp,Ketchum,ID, ,N
23602,34396,,,"First Bank of Idaho, FSB",KETCHUM,ID,Y,N
23603,,,H3220,"First Capital Bancshares, Inc.",Bennettsville,SC, ,N
23603,34966,,,First Capital Bank,BENNETTSVILLE,SC,Y,N
23604,,,H3281,First American Corporation,Santa Ana,CA, ,Y
23604,26312,,,"First American Trust, FSB",SANTA ANA,CA,Y,Y
23605,,,H3440,"Alaska Pacific Bancshares, Inc.",Juneau,AK, ,Y
23605,29849,,,Alaska Pacific Bank,JUNEAU,AK,Y,Y
23606,,,H3373,Polish National Alliance of the      United States of North America,Chicago,IL, ,N
23606,,,H3596,PNA Holding Company,Chicago,IL, ,N
23606,28299,,,PNA Bank,CHICAGO,IL,N,N
23607,,,H3423,"Windsor Federal, MHC",Windsor,CT, ,Y
23607,,,H3424,"Windsor Federal Bancorp, Inc",Windsor,CT, ,Y
23607,29632,,,Windsor Federal Savings and Loan Association,WINDSOR,CT,Y,Y
23608,,,H3428,FPB Financial Corp,Hammond,LA, ,Y
23608,29670,,,Florida Parishes Bank,HAMMOND,LA,Y,Y
23609,,,H3490,"United Holding Company, Inc.",Springdale,AR, ,N
23609,,,H4150,The Pitts Dynasty Trust,Springdale,AR, ,N
23609,32025,,,United Bank,SPRINGDALE,AR,Y,N
23610,,,H3415,"Liberty Centre Bancorp, Inc.",Pottsville,PA, ,Y
23610,29247,,,"Liberty Savings Bank, F.S.B.",POTTSVILLE,PA,Y,Y
23611,,,H3416,"Community Financial, MHC",Bennington,VT, ,Y
23611,30350,,,The Bank of Bennington,BENNINGTON,VT,Y,Y
23612,,,H3090,New Jersey Manufacturers Insurance Co,West Trenton,NJ, ,Y
23612,,,H3534,The Trust Committee of the Deed of   Trust,West Trenton,NJ, ,Y
23612,,,H3535,The Trust Established By the Deed of Trust,West Trenton,NJ, ,Y
23612,35057,,,"N.J.M. Bank, FSB",WEST TRENTON,NJ,Y,Y
23616,,,H3352,"Nordstrom, Inc.",Seattle,WA, ,Y
23616,33497,,,Nordstrom fsb,SCOTTSDALE,AZ,N,Y
23617,,,H3361,American Sterling Corporation,Foothill Ranch,CA, ,Y
23617,8266,,,American Sterling Bank,SUGAR CREEK,MO,Y,Y
23619,,,H2998,"Nationwide Financial Services, Inc.",Columbus,OH, ,N
23619,,,H3602,Nationwide Mutual Insurance Company,Columbus,OH, ,N
23619,,,H3603,Nationwide Corporation,Columbus,OH, ,N
23619,,,H4478,Nationwide Mutual Fire Insurance Co.,Columbus,OH, ,N
23619,34710,,,Nationwide Bank,COLUMBUS,OH,N,N
23621,,,H3353,Auto Club Insurance Association,Dearborn,MI, ,Y
23621,,,H3604,"Auto Club Service, Inc.",Dearborn,MI, ,Y
23621,,,H3605,The Auto Club Group,Dearborn,MI, ,Y
23621,35115,,,"Auto Club Trust, FSB",DEARBORN,MI,Y,Y
23622,,,H3401,Illinois Agricultural Association,Bloomington,IL, ,N
23622,,,H3402,Illinois Agricultural Holding Company,Bloomington,IL, ,N
23622,,,H3403,Country Life Insurance Company,Bloomington,IL, ,N
23622,35602,,,Country  Trust Bank,BLOOMINGTON,IL,N,N
23623,,,H3431,Macy's Inc.                          % FACS Group Inc.,Mason,OH, ,Y
23623,,,H3637,"FDS Thrift Holding Co., Inc.",Cincinnati,OH, ,Y
23623,33831,,,FDS Bank,MASON,OH,Y,Y
23624,,,H3488,Lydian Trust Company,Palm Beach Gardens,FL, ,Y
23624,35356,,,Lydian Private Bank,PALM BEACH,FL,Y,Y
23625,,,H3589,Eagle Financial MHC,Helena,MT, ,Y
23625,,,H3590,Eagle Bancorp,Helena,MT, ,Y
23625,30182,,,American Federal Savings Bank,HELENA,MT,Y,Y
23626,,,H3592,"First Federal of Olathe Bancorp, Inc.",Olathe,KS, ,Y
23626,28635,,,First Federal Savings and Loan Association of Olathe,OLATHE,KS,Y,Y
23628,,,H3028,General Electric Company,Fairfield,CT, ,Y
23628,,,H3758,"General Electric Capital Services,Inc",Fairfield,CT, ,Y
23628,,,H3759,General Electric Capital Corporation,Fairfield,CT, ,Y
23628,,,H4267,"GE Consumer Finance, Inc.",Stamford,CT, ,Y
23628,27314,,,GE Money Bank,SALT LAKE CITY,UT,Y,Y
23628,33778,,,GE Capital Financial Inc.,SALT LAKE CITY,UT,Y,Y
23629,,,H3286,"The Capital Group Companies, Inc.",Irvine,CA, ,N
23629,35164,,,"Capital Bank and Trust Company, FSB",IRVINE,CA,N,N
23630,,,H3304,Deere and Company                    c/o John Deere Capital Corporation,Reno,NV, ,Y
23630,,,H3305,John Deere Credit Company,Moline,IL, ,Y
23630,,,H3306,John Deere Capital Corporation,Reno,NV, ,Y
23630,35237,,,"FPC Financial, F.S.B.",MADISON,WI,Y,Y
23632,,,H3362,Massachusetts Mutual Life Insurance  Company,Springfield,MA, ,Y
23632,35394,,,"The MassMutual Trust Company, F.S.B.",ENFIELD,CT,Y,Y
23633,,,H3462,"Benefit Financial Group, Inc.",Ft. Smith,AR, ,Y
23633,35281,,,Benefit Bank,FORT SMITH,AR,Y,Y
23634,,,H3475,"United Bancorp, Inc.",Bridgeview,IL, ,Y
23634,35393,,,United Trust Bank,BRIDGEVIEW,IL,Y,N
23635,,,H3491,Mennonite Mutual Aid Association,Goshen,IN, ,Y
23635,57109,,,MMA Trust Company,GOSHEN,IN,Y,Y
23636,,,H3537,"MutualFirst Financial, Inc.",Muncie,IN, ,Y
23636,27744,,,MutualBank,MUNCIE,IN,Y,Y
23637,,,H3544,The Northwestern Mutual Life Insur.,Milwaukee,WI, ,Y
23637,57093,,,Northwestern Mutual Wealth Management,MILWAUKEE,WI,Y,Y
23638,,,H3547,Ohio Farmers Insurance Company       c/o Westfield Bancorp,Westfield Center,OH, ,Y
23638,,,H4074,Westfield Bancorp,Westfield Center,OH, ,Y
23638,,,H4098,Westfield Insurance Company,Westfield Center,OH, ,Y
23638,57077,,,"Westfield Bank, FSB",WESTFIELD CENTER,OH,Y,Y
23639,,,H3579,ING DIRECT Bancorp                   Attn: Arkadi Kuhlmann,Wilmington,DE, ,N
23639,35489,,,"ING Bank, fsb",WILMINGTON,DE,Y,N
23640,,,H3594,"CBHC Financialcorp, Inc.",Egg Harbor City,NJ, ,Y
23640,35512,,,Select Bank,EGG HARBOR CITY,NJ,Y,Y
23641,,,H3606,"National Advisors Holdings, Inc.",Overland Park,KS, ,Y
23641,57160,,,"National Advisors Trust Company, FSB",OVERLAND PARK,KS,Y,Y
23643,,,H3430,Donegal Mutual Insurance Company,Marietta,PA, ,Y
23643,,,H3434,"Donegal Group, Inc.",Marietta,PA, ,Y
23643,,,H3435,Donegal Financial Services Corp.,Marietta,PA, ,Y
23643,35257,,,Province Bank FSB,MARIETTA,PA,Y,Y
23645,,,H3610,Trustco Bank Corp NY,Glenville,NY, ,Y
23645,31945,,,TrustCo Bank,GLENVILLE,NY,Y,Y
23646,30559,,,BankAtlantic,FORT LAUDERDALE,FL,Y,Y
23649,,,H1449,"Brittany Savings Corporation         Attn:Kevin P. Gilmore, CEO",Olathe,KS, ,Y
23649,,,H3656,The Donald H. Bell Revocable Trust,Olathe,KS, ,Y
23649,,,H3657,The Faith N. Bell Revocable Trust,Olathe,KS, ,Y
23649,,,H3929,Bell Family Charitable Lead          Annuity Trust,Olathe,KS, ,Y
23649,,,H4339,Hooven Family Trust,Olathe,KS, ,Y
23649,30898,,,"Security Savings Bank, F.S.B.",OLATHE,KS,Y,Y
23650,,,H2902,Robert A. Buchholz 1997 Trust,Garland,TX, ,Y
23650,,,H2903,Chrystine B. Roberts 1997 Trust,Garland,TX, ,Y
23650,,,H3509,"SWS Group, Inc.",Dallas,TX, ,Y
23650,,,H3662,"Buchholz Investments, a Partnership",Garland,TX, ,Y
23650,,,H3663,The Angela Buchholz Children's Trust,Garland,TX, ,Y
23650,,,H3664,The Robert Buchholz Children's Trust,Garland,TX, ,Y
23650,,,H3665,Buchholz Irrevocable Trust,Garland,TX, ,Y
23650,,,H3666,Samuel Alden Buchholz Trust,Garland,TX, ,Y
23650,,,H3667,Donald Andrew Buchholz Trust,Garland,TX, ,Y
23650,,,H3944,"Union Hill Holdings, Ltd.",Dallas,TX, ,Y
23650,,,H3945,"Buchholz Family Mgmt Co., LLC",Arlington,TX, ,Y
23650,,,H3946,The Buchholz Family GST Irrev Trust,Dallas,TX, ,Y
23650,,,H3947,The Roberts Family Trust,Dallas,TX, ,Y
23650,,,H3948,The Vandiver Childrens Trust,Dallas,TX, ,Y
23650,,,H3949,Anna Louise Buchholz 1999 Trust,Dallas,TX, ,Y
23650,,,H3950,Kenneth O'Neal Roberts 2002 Trust,Dallas,TX, ,Y
23650,,,H3951,Ruth Eleanor Roberts 2002 Trust,Dallas,TX, ,Y
23650,,,H4020,"SWS Banc Holdings, Inc",Dallas,TX, ,Y
23650,32460,,,"Southwest Securities , FSB",ARLINGTON,TX,Y,Y
23651,,,H3670,Midwest Minnesota Community          Development Corporation,Detroit Lakes,MN, ,N
23651,,,H3671,"CDC Bancshares, Inc.",Detroit Lakes,MN, ,N
23651,10568,,,"Community Development Bank, FSB",OGEMA,MN,Y,N
23652,,,H3548,Davidson Companies,Great Falls,MT, ,N
23652,,,H3673,Ryan Ian Maxwell 1991 Trust,Great Falls,MT, ,N
23652,,,H3674,Casey Paul Maxwell 1991 Trust,Great Falls,MT, ,N
23652,,,H3675,Alexander Scott Maxwell 1992 Trust,Great Falls,MT, ,N
23652,,,H3676,Lucas Garrett Maxwell 1994 Trust,Great Falls,MT, ,N
23652,,,H3677,Nicholas Adam Descamps 1995 Trust,Great Falls,MT, ,N
23652,,,H3678,Ian Timothy Descamps 1997 Trust,Great Falls,MT, ,N
23652,,,H3679,Abigail Elizabeth Davidson 1997 Trust,Great Falls,MT, ,N
23652,,,H3680,Zachary Curtis Maxwell 1999 Trust,Great Falls,MT, ,N
23652,,,H3681,Andrew Garrett Davidson 1999 Trust,Great Falls,MT, ,N
23652,,,H3682,DADCO Incorporated Employee Stock Own,Great Falls,MT, ,N
23652,35510,,,Davidson Trust Co.,GREAT FALLS,MT,N,N
23653,,,H3324,"T. Rowe Price Associates, Inc.",Baltimore,MD, ,N
23653,,,H3687,"T. Rowe Price Group, Inc.            Attn:   Sue Piccirillo",Baltimore,MD, ,N
23653,35154,,,T. Rowe Price Savings Bank,BALTIMORE,MD,N,N
23654,,,H3690,"Beauregard Bancshares,Inc.",De Ridder,LA, ,N
23654,30339,,,Beauregard FSB,DERIDDER,LA,Y,N
23655,,,H3691,Community FSB Holding Company,Woodhaven,NY, ,Y
23655,57129,,,Community Federal Savings Bank,WOODHAVEN,NY,Y,Y
23657,,,H3700,"Pamrapo Bancorp, Inc.",Bayonne,NJ, ,N
23657,30579,,,"Pamrapo Savings Bank, SLA",BAYONNE,NJ,Y,N
23658,,,H3706,Franklin Financial Corporation,Glen Allen,VA, ,Y
23658,28798,,,Franklin Federal Savings and Loan Association of Richmond,GLEN ALLEN,VA,Y,Y
23659,,,H3710,"Crest Savings Bancorp, MHC",Wildwood Crest,NJ, ,Y
23659,,,H3711,"Crest Savings Bancorp, Inc.",Wildwood,NJ, ,Y
23659,28818,,,Crest Savings Bank,WILDWOOD,NJ,Y,Y
23660,,,H3356,Kearny Financial Corp,Kearny,NJ, ,N
23660,,,H3715,Kearny MHC,Kearny,NJ, ,N
23660,28765,,,Kearny Federal Savings Bank,WOOD RIDGE,NJ,Y,N
23662,,,H3719,"Preferred Bancshares, Inc.",Houston,TX, ,Y
23662,,,H3720,"Preferred Bancshares - Nevada, Inc.",Houston,TX, ,Y
23662,32265,,,Preferred Bank,HOUSTON,TX,Y,Y
23664,,,H3724,"BSA Financial Services, Inc.",St. Augustine,FL, ,Y
