County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Lyon County,Nevada,32,19,200919000,200919000,1,7,7,1,1204,647,0.5375
Mineral County,Nevada,32,21,9825000,9825000,1,1,1,1,52,36,0.7027
Nye County,Nevada,32,23,372270000,296847000,0.7974,8,6,0.75,1031,617,0.5994
Pershing County,Nevada,32,27,35601000,35601000,1,2,2,1,72,45,0.6372
Storey County,Nevada,32,29,8477000,8477000,1,1,1,1,109,53,0.4866
Washoe County,Nevada,32,31,26027759000,4908823000,0.1886,91,69,0.7582,9011,5123,0.5686
White Pine County,Nevada,32,33,116531000,35164000,0.3018,3,1,0.3333,150,94,0.6303
Belknap County,New Hampshire,33,1,1055153000,86649000,0.0821,23,3,0.1304,914,330,0.362
Carroll County,New Hampshire,33,3,972508000,118106000,0.1214,22,4,0.1818,729,239,0.3284
Cheshire County,New Hampshire,33,5,1491881000,527663000,0.3537,21,1,0.0476,925,377,0.4082
Coos County,New Hampshire,33,7,466832000,264230000,0.566,12,5,0.4167,241,70,0.2914
Grafton County,New Hampshire,33,9,1692985000,451196000,0.2665,60,17,0.2833,971,406,0.4182
Hillsborough County,New Hampshire,33,11,8686404000,3319141000,0.3821,105,19,0.181,5375,2086,0.3882
Merrimack County,New Hampshire,33,13,2332991000,194630000,0.0834,52,7,0.1346,2022,808,0.3999
Rockingham County,New Hampshire,33,15,4337588000,528903000,0.1219,90,14,0.1556,4324,1615,0.3735
Strafford County,New Hampshire,33,17,1213347000,78645000,0.0648,27,3,0.1111,1469,504,0.3435
Sullivan County,New Hampshire,33,19,697652000,0,0,18,0,0,612,317,0.5191
Atlantic County,New Jersey,34,1,4097609000,1690741000,0.4126,85,40,0.4706,6357,3069,0.4828
Bergen County,New Jersey,34,3,31975829000,12636158000,0.3952,490,224,0.4571,12574,5678,0.4516
Burlington County,New Jersey,34,5,9168029000,4063835000,0.4433,143,38,0.2657,7937,3294,0.4151
Camden County,New Jersey,34,7,9242661000,2234382000,0.2417,140,62,0.4429,8810,3718,0.4221
Cape May County,New Jersey,34,9,2432984000,649777000,0.2671,63,24,0.381,3749,1769,0.4719
Cumberland County,New Jersey,34,11,2144047000,1062538000,0.4956,46,22,0.4783,2141,849,0.3966
Essex County,New Jersey,34,13,14964329000,5222569000,0.349,263,117,0.4449,10482,4879,0.4655
Gloucester County,New Jersey,34,15,4215560000,1455157000,0.3452,84,33,0.3929,5917,2501,0.4228
Hudson County,New Jersey,34,17,24208425000,18567346000,0.767,186,83,0.4462,8942,4602,0.5147
Hunterdon County,New Jersey,34,19,3013704000,1522996000,0.5054,57,34,0.5965,2372,1167,0.4924
Mercer County,New Jersey,34,21,21625097000,3845141000,0.1778,146,73,0.5,6191,3079,0.4974
Middlesex County,New Jersey,34,23,18383381000,6444288000,0.3505,266,117,0.4398,13233,6660,0.5033
Monmouth County,New Jersey,34,25,14629921000,4565124000,0.312,270,128,0.4741,11707,5495,0.4694
Morris County,New Jersey,34,27,13401812000,6271412000,0.468,234,139,0.594,7945,3750,0.4721
Ocean County,New Jersey,34,29,11630805000,1810094000,0.1556,191,54,0.2827,12044,5653,0.4694
Passaic County,New Jersey,34,31,8454042000,4599151000,0.544,147,86,0.585,6680,3118,0.4669
Salem County,New Jersey,34,33,1021009000,358064000,0.3507,29,10,0.3448,1147,460,0.4019
Somerset County,New Jersey,34,35,8698825000,3523973000,0.4051,123,77,0.626,5674,2751,0.4849
Sussex County,New Jersey,34,37,2123977000,1326326000,0.6245,57,39,0.6842,3522,1688,0.4794
Union County,New Jersey,34,39,15638818000,3958590000,0.2531,216,91,0.4213,8460,4180,0.4941
Warren County,New Jersey,34,41,1970797000,1251224000,0.6349,39,26,0.6667,2430,1323,0.5446
Bernalillo County,New Mexico,35,1,8664129000,4877602000,0.563,136,57,0.4191,12055,5016,0.4161
Catron County,New Mexico,35,3,13945000,0,0,1,0,0,31,18,0.5962
Chaves County,New Mexico,35,5,719399000,217770000,0.3027,23,6,0.2609,871,455,0.5225
Cibola County,New Mexico,35,6,166741000,47046000,0.2822,6,2,0.3333,124,58,0.4751
Colfax County,New Mexico,35,7,293197000,69831000,0.2382,10,4,0.4,191,97,0.5107
Curry County,New Mexico,35,9,579688000,189296000,0.3265,20,8,0.4,611,312,0.5117
De Baca County,New Mexico,35,11,25273000,0,0,1,0,0,13,6,0.52
Dona Ana County,New Mexico,35,13,1330674000,423830000,0.3185,43,11,0.2558,2348,882,0.3758
Eddy County,New Mexico,35,15,810668000,108158000,0.1334,18,3,0.1667,481,187,0.3892
Grant County,New Mexico,35,17,333390000,133675000,0.401,11,4,0.3636,319,187,0.5875
Guadalupe County,New Mexico,35,19,16668000,16668000,1,1,1,1,28,16,0.5833
Harding County,New Mexico,35,21,5466000,0,0,1,0,0,1,0,0.5
Hidalgo County,New Mexico,35,23,57314000,0,0,3,0,0,17,8,0.5
Lea County,New Mexico,35,25,632995000,234517000,0.3705,19,6,0.3158,510,206,0.4041
Lincoln County,New Mexico,35,27,343489000,63806000,0.1858,17,4,0.2353,560,319,0.5708
Los Alamos County,New Mexico,35,28,848626000,760534000,0.8962,5,3,0.6,147,27,0.1877
Luna County,New Mexico,35,29,213317000,50457000,0.2365,7,1,0.1429,218,90,0.4137
McKinley County,New Mexico,35,31,366439000,131838000,0.3598,9,4,0.4444,251,126,0.503
Mora County,New Mexico,35,33,28071000,0,0,3,0,0,23,12,0.5227
Otero County,New Mexico,35,35,466502000,60702000,0.1301,19,3,0.1579,653,324,0.4973
Quay County,New Mexico,35,37,170724000,57194000,0.335,5,1,0.2,56,34,0.6087
Rio Arriba County,New Mexico,35,39,403128000,99763000,0.2475,8,4,0.5,289,114,0.3975
Roosevelt County,New Mexico,35,41,158180000,50675000,0.3204,7,2,0.2857,148,58,0.3957
San Juan County,New Mexico,35,45,1189150000,563643000,0.474,27,11,0.4074,1437,746,0.5193
San Miguel County,New Mexico,35,47,243138000,42126000,0.1733,9,2,0.2222,272,136,0.5018
Sandoval County,New Mexico,35,43,751933000,293452000,0.3903,19,9,0.4737,2888,1114,0.386
Santa Fe County,New Mexico,35,49,2131202000,1040168000,0.4881,43,19,0.4419,2976,1364,0.4585
Sierra County,New Mexico,35,51,102269000,0,0,5,0,0,80,16,0.2111
Socorro County,New Mexico,35,53,170060000,77087000,0.4533,5,3,0.6,156,81,0.52
