Date,Ticker,Name,Tier,Currency,Docclause,Tenor,Composite
25-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,50
26-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,51
27-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,51
28-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,54
31-Mar-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,52
01-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,46
02-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,40
03-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,38
04-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
07-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
08-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,41
09-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,44
10-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,45
11-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,46
14-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,47
15-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,46
16-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
17-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,38
18-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,34
21-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,34
22-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
23-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
24-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,39
25-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,37
28-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
29-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
30-Apr-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
01-May-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
02-May-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,35
05-May-2008,FHLMC,Fed Home Ln Mtg Corp,SNRFOR,USD,MR,5Y,42
