Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2004-11-18,778583000000,27107000000,431000000,0,80000000,,,,,,,,,,,,,,,40943000000,,709268000000
2004-11-12,774767000000,23643000000,6000000,0,79000000,,,,,,,,,,,,,,,42149000000,,708823000000
2004-11-04,773351000000,24286000000,8000000,0,107000000,,,,,,,,,,,,,,,41599000000,,707023000000
2004-10-28,770604000000,24000000000,51000000,0,147000000,,,,,,,,,,,,,,,41100000000,,705165000000
2004-10-21,770529000000,26964000000,5000000,0,168000000,,,,,,,,,,,,,,,40342000000,,702661000000
2004-10-14,768783000000,27071000000,5000000,0,188000000,,,,,,,,,,,,,,,40044000000,,701602000000
2004-10-07,764916000000,24464000000,2000000,0,199000000,,,,,,,,,,,,,,,39560000000,,700691000000
2004-09-30,765836000000,27571000000,9000000,0,245000000,,,,,,,,,,,,,,,39269000000,,698602000000
2004-09-23,767481000000,31286000000,352000000,0,240000000,,,,,,,,,,,,,,,38847000000,,697024000000
2004-09-16,768420000000,33500000000,20000000,0,238000000,,,,,,,,,,,,,,,38627000000,,695563000000
2004-09-09,764440000000,30929000000,31000000,0,236000000,,,,,,,,,,,,,,,38100000000,,694871000000
2004-09-02,764044000000,31000000000,31000000,0,242000000,,,,,,,,,,,,,,,37971000000,,694851000000
2004-08-26,755206000000,22786000000,6000000,0,234000000,,,,,,,,,,,,,,,37846000000,,694794000000
2004-08-19,754238000000,20536000000,12000000,0,235000000,,,,,,,,,,,,,,,39803000000,,694041000000
2004-08-12,754791000000,20036000000,16000000,0,223000000,,,,,,,,,,,,,,,41071000000,,693741000000
2004-08-05,757633000000,22929000000,31000000,0,234000000,,,,,,,,,,,,,,,40475000000,,693728000000
2004-07-29,752230000000,18607000000,37000000,0,226000000,,,,,,,,,,,,,,,40363000000,,693510000000
2004-07-22,756215000000,23536000000,26000000,0,214000000,,,,,,,,,,,,,,,40418000000,,692281000000
2004-07-15,755496000000,25250000000,53000000,0,191000000,,,,,,,,,,,,,,,40431000000,,689774000000
2004-07-08,754955000000,27179000000,59000000,0,165000000,,,,,,,,,,,,,,,39901000000,,687668000000
2004-07-01,752257000000,25250000000,58000000,0,164000000,,,,,,,,,,,,,,,39693000000,,687099000000
2004-06-24,748436000000,24250000000,54000000,0,143000000,,,,,,,,,,,,,,,39208000000,,685043000000
2004-06-17,746382000000,22821000000,34000000,0,135000000,,,,,,,,,,,,,,,38767000000,,684980000000
2004-06-10,746417000000,24821000000,32000000,0,126000000,,,,,,,,,,,,,,,38470000000,,683066000000
2004-06-03,749607000000,29750000000,8000000,0,119000000,,,,,,,,,,,,,,,38333000000,,681468000000
2004-05-27,743669000000,26107000000,4000000,0,114000000,,,,,,,,,,,,,,,37637000000,,680027000000
2004-05-20,740495000000,22000000000,2000000,0,104000000,,,,,,,,,,,,,,,39299000000,,679574000000
2004-05-13,741313000000,23071000000,16000000,0,93000000,,,,,,,,,,,,,,,40687000000,,677826000000
2004-05-06,742139000000,24464000000,6000000,0,82000000,,,,,,,,,,,,,,,40591000000,,677738000000
2004-04-29,744758000000,29429000000,16000000,0,71000000,,,,,,,,,,,,,,,40455000000,,675539000000
2004-04-22,739030000000,24529000000,34000000,0,61000000,,,,,,,,,,,,,,,40308000000,,674786000000
2004-04-15,740217000000,25729000000,33000000,0,52000000,,,,,,,,,,,,,,,40347000000,,674520000000
2004-04-08,733554000000,19571000000,36000000,0,37000000,,,,,,,,,,,,,,,40205000000,,674201000000
2004-04-01,737739000000,24357000000,11000000,0,36000000,,,,,,,,,,,,,,,40019000000,,674037000000
2004-03-25,731279000000,18786000000,26000000,0,36000000,,,,,,,,,,,,,,,39690000000,,673518000000
2004-03-18,736994000000,25179000000,48000000,0,27000000,,,,,,,,,,,,,,,39342000000,,673086000000
2004-03-11,729556000000,18000000000,7000000,0,19000000,,,,,,,,,,,,,,,38977000000,,672592000000
2004-03-04,736597000000,26286000000,3000000,0,21000000,,,,,,,,,,,,,,,38548000000,,671586000000
2004-02-26,732057000000,23000000000,37000000,0,16000000,,,,,,,,,,,,,,,38634000000,,670909000000
2004-02-19,739691000000,28429000000,11000000,0,11000000,,,,,,,,,,,,,,,41394000000,,670117000000
