Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,7003,City Utilities of Springfield,Springfield,MO,"Springfield, MO",140,114,"215,004",DR,DO,"84,498","92,356","103,378","99,535","105,434","107,412","103,370","109,573","107,671","127,167","128,923","124,430","122,319","120,636","129,769","127,137","124,695","120,431"
2008,7003,City Utilities of Springfield,Springfield,MO,"Springfield, MO",140,114,"215,004",MB,DO,"1,081,902","1,107,660","1,049,522","1,047,099","1,049,709","1,008,896","853,407","859,619","869,893","953,695","958,314","1,045,482","1,062,195","1,021,769","1,026,597","1,040,188","1,040,506","1,066,287"
2008,7005,Kansas City Area Transportation Authority,Kansas City,MO,"Kansas City, MO-KS",29,584,"1,361,744",DR,DO,,,"32,470","59,894","97,303","95,744","93,675","103,696","170,303","203,277","322,320","436,993","481,738","520,326","604,757","628,609","672,291","774,862"
2008,7005,Kansas City Area Transportation Authority,Kansas City,MO,"Kansas City, MO-KS",29,584,"1,361,744",DR,PT,"740,391","938,748","1,057,577","1,006,462","1,077,380","1,188,723","1,072,850","1,564,959","1,530,804","1,870,833","1,548,289","1,511,902","1,424,925","1,634,799","1,554,997","1,708,155","2,018,048","1,941,223"
2008,7005,Kansas City Area Transportation Authority,Kansas City,MO,"Kansas City, MO-KS",29,584,"1,361,744",MB,DO,"7,723,916","7,123,029","7,134,131","7,088,966","7,056,090","6,719,543","6,810,049","7,212,495","8,106,385","8,782,515","8,863,276","8,062,725","7,760,344","7,909,879","8,417,759","8,751,936","8,768,771","8,700,345"
2008,7005,Kansas City Area Transportation Authority,Kansas City,MO,"Kansas City, MO-KS",29,584,"1,361,744",MB,PT,"171,538","116,254","22,629","8,038","65,520",,,,,"14,311","22,347",,,,,,,
2008,7005,Kansas City Area Transportation Authority,Kansas City,MO,"Kansas City, MO-KS",29,584,"1,361,744",VP,DO,,,,,,,,918,"126,106","307,759","429,344","479,031","489,999","509,937","523,179","577,685","538,535","504,989"
2008,7006,Bi-State Development Agency,St. Louis,MO,"St. Louis, MO-IL",17,829,"2,077,662",DR,DO,"1,096,605","1,366,533","1,796,388","1,799,630","2,177,267","2,576,150","2,800,126","3,146,724","3,246,590","3,558,437","3,488,382","4,165,823","4,485,452","5,128,572","5,176,795","5,151,109","5,015,153","4,908,341"
2008,7006,Bi-State Development Agency,St. Louis,MO,"St. Louis, MO-IL",17,829,"2,077,662",DR,PT,"499,346","479,268",,,,,,,,,,,,,,,,
2008,7006,Bi-State Development Agency,St. Louis,MO,"St. Louis, MO-IL",17,829,"2,077,662",LR,DO,,,,"1,769,520","2,527,182","2,512,918","2,584,485","2,574,011","2,577,087","2,528,479","2,861,190","5,156,197","5,229,025","5,024,244","4,440,238","4,377,635","6,193,455","6,716,857"
2008,7006,Bi-State Development Agency,St. Louis,MO,"St. Louis, MO-IL",17,829,"2,077,662",MB,DO,"17,847,379","18,095,006","18,569,797","19,240,710","19,296,269","18,866,298","18,845,058","18,593,867","18,449,932","18,717,494","19,371,759","17,785,969","16,932,502","16,679,483","16,403,693","16,434,554","17,001,250","17,518,267"
2008,7006,Bi-State Development Agency,St. Louis,MO,"St. Louis, MO-IL",17,829,"2,077,662",MB,PT,"511,400","516,722","371,016",,,,,,,,,,,,,,,
2008,7007,Bettendorf Transit System,Bettendorf,IA,"Davenport, IA-IL",118,124,"270,626",DR,PT,"26,388","25,304","22,215","27,652","30,800","33,328","33,334","35,176","29,506","29,609","28,463","26,432","25,450","25,954","25,212","28,040","30,513","29,380"
2008,7007,Bettendorf Transit System,Bettendorf,IA,"Davenport, IA-IL",118,124,"270,626",MB,DO,"161,587","164,678","164,762","224,976","237,056","231,648","213,504","213,905","222,819","236,726","230,378","228,935","225,552","223,966","311,787","302,386","295,953","298,800"
2008,7007,Bettendorf Transit System,Bettendorf,IA,"Davenport, IA-IL",118,124,"270,626",MB,PT,,,,"13,653","17,264","17,264","14,820","14,903","14,229","14,450","16,483","16,760","16,448","15,743","15,743","15,765","16,082","15,964"
2008,7008,Cedar Rapids Transit,Cedar Rapids,IA,"Cedar Rapids, IA",184,59,"155,334",DR,PT,"88,138","79,345","93,266","96,490","103,741","150,685","195,375","215,952","218,726","243,116","273,325","329,282","372,042","396,388","396,332","421,100","442,342","484,891"
2008,7008,Cedar Rapids Transit,Cedar Rapids,IA,"Cedar Rapids, IA",184,59,"155,334",MB,DO,"998,286","1,007,852","1,052,451","1,047,692","1,051,233","916,900","932,071","959,388","959,004","986,245","979,833","973,982","969,790","1,009,261","1,005,179","1,055,707","1,038,454","1,041,326"
2008,7009,Davenport Public Transit,Davenport,IA,"Davenport, IA-IL",118,124,"270,626",DR,PT,"107,576","102,085","89,485","88,739","86,598","106,206","106,438","118,282","129,091","141,290","139,108","134,894","134,930","120,992","106,593","112,950","114,808","113,430"
2008,7009,Davenport Public Transit,Davenport,IA,"Davenport, IA-IL",118,124,"270,626",MB,DO,"620,456","607,192","604,979","608,614","610,653","656,516","654,297","654,042","654,559","659,512","674,453","806,801","669,663","672,162","712,786","708,778","706,057","674,088"
2008,7010,Des Moines Area Regional Transit Authority,Des Moines,IA,"Des Moines, IA",85,140,"370,505",DR,DO,"522,244","343,760","329,136","286,698","309,570","330,947","355,600","362,752","617,880","691,062","728,100","793,348","746,260","714,172","728,355","786,265","782,472","931,674"
2008,7010,Des Moines Area Regional Transit Authority,Des Moines,IA,"Des Moines, IA",85,140,"370,505",DR,PT,,"68,848","24,990","13,409","16,271","20,327","21,328","31,280","39,500","35,344",,,,,"94,195","92,634","79,411","59,469"
2008,7010,Des Moines Area Regional Transit Authority,Des Moines,IA,"Des Moines, IA",85,140,"370,505",MB,DO,"1,530,028","1,559,080","1,473,643","1,510,775","1,510,317","1,514,996","1,648,532","1,592,068","1,702,682","1,917,534","1,985,851","2,006,507","2,129,183","2,137,735","2,131,870","2,120,258","2,146,169","2,318,224"
2008,7010,Des Moines Area Regional Transit Authority,Des Moines,IA,"Des Moines, IA",85,140,"370,505",MB,PT,"3,904","2,065","4,335","19,380","1,176","6,096","6,120","1,032",,,,,,,,,,
2008,7010,Des Moines Area Regional Transit Authority,Des Moines,IA,"Des Moines, IA",85,140,"370,505",VP,DO,,,,,,"220,590","640,588","1,104,405","1,166,625","1,282,560","1,297,432","1,368,552","1,399,796","1,288,098","1,279,268","1,404,540","1,577,521","1,862,164"
2008,7011,City of Dubuque,Dubuque,IA,"Dubuque, IA-IL",357,30,"65,251",DR,DO,,,,,,,,,,,,,,"282,170","260,951","285,173","261,514","182,736"
2008,7011,City of Dubuque,Dubuque,IA,"Dubuque, IA-IL",357,30,"65,251",DR,PT,"41,745","41,239","43,169","43,556","49,082","66,667","71,153","127,315","135,181","144,605","152,469","157,906","181,573",,,,,
2008,7011,City of Dubuque,Dubuque,IA,"Dubuque, IA-IL",357,30,"65,251",MB,DO,"407,160","350,240","251,703","262,388","264,047","261,404","221,016","224,485","215,461","216,996","215,119","221,108","341,980","278,580","295,018","292,301","307,130","301,395"
2008,7012,Sioux City Transit System,Sioux City,IA,"Sioux City, IA-NE-SD",250,53,"106,119",DR,PT,"147,840","106,481","177,265","153,806","64,748","90,044","121,382","141,680","141,673",,"200,173","177,186","153,061","145,153","141,279","126,084","99,940","93,618"
2008,7012,Sioux City Transit System,Sioux City,IA,"Sioux City, IA-NE-SD",250,53,"106,119",MB,DO,"616,836","516,613","494,314","507,885","555,636","552,561","561,438","562,904","567,799",,"588,197","665,863","643,117","521,650","491,207","524,777","512,501","507,019"
2008,7013,Metropolitan Transit Authority of Black Hawk County,Waterloo,IA,"Waterloo, IA",244,53,"108,298",DR,DO,0,,,,,,"303,462","270,379","205,602","228,758","245,524","211,364","233,395","263,536","258,420","244,448","234,670","296,185"
2008,7013,Metropolitan Transit Authority of Black Hawk County,Waterloo,IA,"Waterloo, IA",244,53,"108,298",DR,PT,"523,582","419,775","491,022","404,720","247,156",,"62,495","80,879","132,508","114,352","133,016","149,735","141,906","178,507","146,142","119,770","157,075","158,894"
2008,7013,Metropolitan Transit Authority of Black Hawk County,Waterloo,IA,"Waterloo, IA",244,53,"108,298",MB,DO,"527,256","536,303","533,626","516,115","513,686",,"433,317","421,241","422,095","430,857","447,264","459,539","469,657","505,415","528,463","550,356","517,723","621,321"
2008,7014,Topeka Metropolitan Transit Authority,Topeka,KS,"Topeka, KS",198,70,"142,411",DR,DO,"74,045","79,133","121,582","157,737","165,615","189,803","201,850","221,740","269,006","288,477","299,496","312,453","311,712","302,036","294,303","293,575","308,229","351,825"
2008,7014,Topeka Metropolitan Transit Authority,Topeka,KS,"Topeka, KS",198,70,"142,411",DR,PT,,208,"11,673","26,608","20,425","25,245","35,840","61,275","103,998","107,584","112,375","150,000","148,973","160,029","173,794","156,792","210,096","206,510"
2008,7014,Topeka Metropolitan Transit Authority,Topeka,KS,"Topeka, KS",198,70,"142,411",MB,DO,"807,590","845,556","844,035","845,508","844,070","842,626","841,076","844,070","921,798","906,586","878,018","834,000","833,922","828,355","848,544","928,286","929,959","977,573"
2008,7015,Wichita Transit,Wichita,KS,"Wichita, KS",76,179,"422,301",DR,DO,,,,"29,098","208,439","279,863","374,024","438,936","459,865","498,980","498,076","642,002","639,245","704,570","631,440","689,790","670,392","758,573"
